2026-09-03 09:52:14,170 | INFO | Application started
2026-09-03 09:52:38,230 | INFO | Analysis completed for testdroid-sample-app.apk
2026-09-03 14:52:04,572 | INFO | Application started
2026-09-03 14:52:25,323 | INFO | Analysis completed for testdroid-sample-app.apk
2026-09-03 15:02:06,842 | INFO | Application started
2026-09-03 15:09:10,157 | INFO | Analysis completed for bitbar-sample-app.apk
2026-09-03 15:10:17,771 | INFO | Application started
2026-09-03 15:10:40,649 | INFO | Analysis completed for testdroid-sample-app.apk
2026-09-03 15:10:41,108 | INFO | Analysis completed for testdroid-sample-app.apk
2026-09-03 15:45:25,545 | INFO | Application started
2026-09-03 15:45:45,025 | INFO | APK selected: bitbar-sample-app.apk
2026-09-03 15:45:51,109 | INFO | Analysis complete for bitbar-sample-app.apk
2026-09-03 15:46:38,014 | INFO | History record deleted: 7
2026-09-03 15:46:48,347 | INFO | History record deleted: 1
2026-09-03 15:49:02,110 | INFO | Application started
2026-09-03 15:50:39,259 | INFO | APK selected: testdroid-sample-app.apk
2026-09-03 15:50:46,060 | INFO | Analysis complete for testdroid-sample-app.apk
2026-09-03 15:50:53,654 | INFO | Report generated: testdroid-sample-app_static_report_20260903_155053.txt
2026-09-03 15:52:16,536 | INFO | Application started
2026-09-03 15:52:23,550 | INFO | APK selected: bitbar-sample-app.apk
2026-09-03 15:52:26,451 | INFO | Analysis complete for bitbar-sample-app.apk
2026-09-03 15:52:54,160 | INFO | Report generated: bitbar-sample-app_static_report_20260903_155254.txt
2026-09-03 15:54:41,712 | INFO | Application started
2026-09-03 16:05:07,303 | INFO | Application started
2026-09-03 16:05:24,253 | INFO | APK selected: testdroid-sample-app.apk
2026-09-03 16:05:26,448 | INFO | Analysis complete for testdroid-sample-app.apk
2026-09-03 16:05:48,399 | INFO | Report generated: testdroid-sample-app_static_assessment_20260903_160548.docx
2026-09-03 16:08:47,973 | INFO | APK selected: bitbar-sample-app.apk
2026-09-03 16:08:57,835 | INFO | Analysis complete for bitbar-sample-app.apk
2026-09-04 11:46:17,938 | INFO | Application started
2026-09-04 12:52:02,811 | INFO | APK selected: testdroid-sample-app.apk
2026-09-04 12:52:22,781 | INFO | Analysis complete for testdroid-sample-app.apk
2026-09-04 12:53:08,005 | INFO | Report generated: testdroid-sample-app_static_assessment_20260904_125307.docx
